No,crystal structure,Fe,Cr,Mn,Si,Co,Mo,Ni,C,Ti,N,B,P,S,Nb,Cu,Ta,Al,V,Mg,W,Zr,dr,tem,irrtype,disden,PreHe,dose
178,fcc,59.2922,14.9,0,0,0,0,25.8,0.005,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,783.5,1,3.00E+14,0,9
179,fcc,59.2922,14.9,0,0,0,0,25.8,0.005,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,35
180,fcc,59.2922,14.9,0,0,0,0,25.8,0.005,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,27.5
181,fcc,59.2922,14.9,0,0,0,0,25.8,0.005,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,923.5,1,3.00E+14,0,50
182,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,673.5,1,3.00E+14,0,8
183,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,700.5,1,3.00E+14,0,8
184,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,727.3,1,3.00E+14,0,8
185,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,755.3,1,3.00E+14,0,17
186,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,783.5,1,3.00E+14,0,22.5
187,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,44
188,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,73
189,fcc,55.094,15.3,0,0,0,0,29.6,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,923.5,1,3.00E+14,0,85
190,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,673.5,1,3.00E+14,0,23.8
191,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,700.5,1,3.00E+14,0,23.8
192,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,727.3,1,3.00E+14,0,23.8
193,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,755.3,1,3.00E+14,0,23.8
194,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,783.5,1,3.00E+14,0,23.8
195,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,28.3
196,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,53
197,fcc,43.194,21.7,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,923.5,1,3.00E+14,0,69.5
198,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,673.5,1,3.00E+14,0,9.65
199,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,700.5,1,3.00E+14,0,9.65
